sample-id	Day	K	Rep	Batch
#q2:types	categorical	categorical	categorical	categorical
D0K0R1-7103	0	0	1	7103
D0K0R2-7103	0	0	2	7103
D0K0R3-7103	0	0	3	7103
D0K1R1-7103	0	1	1	7103
D0K1R2-7103	0	1	2	7103
D0K1R3-7103	0	1	3	7103
D0K2R1-7103	0	2	1	7103
D0K2R2-7103	0	2	2	7103
D0K2R3-7103	0	2	3	7103
D0K3R1-7103	0	3	1	7103
D0K3R2-7103	0	3	2	7103
D0K3R3-7103	0	3	3	7103
D0K4R1-7103	0	4	1	7103
D0K4R2-7103	0	4	2	7103
D0K4R3-7103	0	4	3	7103
D3K0R1-7103	3	0	1	7103
D3K0R2-7103	3	0	2	7103
D3K0R3-7103	3	0	3	7103
D3K1R1-7103	3	1	1	7103
D3K1R2-7103	3	1	2	7103
D3K1R3-7103	3	1	3	7103
D3K2R1-7103	3	2	1	7103
D3K2R2-7103	3	2	2	7103
D3K2R3-7103	3	2	3	7103
D3K3R1-7103	3	3	1	7103
D3K3R2-7103	3	3	2	7103
D3K3R3-7103	3	3	3	7103
D3K4R1-7103	3	4	1	7103
D3K4R2-7103	3	4	2	7103
D3K4R3-7103	3	4	3	7103
D24K0R1-7103	24	0	1	7103
D24K0R2-7103	24	0	2	7103
D24K0R3-7103	24	0	3	7103
D24K1R1-7103	24	1	1	7103
D24K1R3-7103	24	1	3	7103
D24K2R1-7103	24	2	1	7103
D24K2R2-7103	24	2	2	7103
D24K2R3-7103	24	2	3	7103
D24K3R1-7103	24	3	1	7103
D24K3R2-7103	24	3	2	7103
D24K3R3-7103	24	3	3	7103
D24K4R1-7103	24	4	1	7103
D24K4R2-7103	24	4	2	7103
D24K4R3-7103	24	4	3	7103
D27K0R1-7103	27	0	1	7103
D27K0R2-7103	27	0	2	7103
D27K0R3-7103	27	0	3	7103
D27K1R1-7103	27	1	1	7103
D27K1R2-7103	27	1	2	7103
D27K1R3-7103	27	1	3	7103
D27K2R1-7103	27	2	1	7103
D27K2R2-7103	27	2	2	7103
D27K2R3-7103	27	2	3	7103
D27K3R1-7103	27	3	1	7103
D27K3R2-7103	27	3	2	7103
D27K3R3-7103	27	3	3	7103
D27K4R1-7103	27	4	1	7103
D27K4R2-7103	27	4	2	7103
D27K4R3-7103	27	4	3	7103

